25.0,2.0,10.0,1.5,0.0,6.0,5.7
24.0,2.0,10.0,1.5,0.0,10.0,17.56
30.0,2.0,10.0,1.5,2.0,6.0,11.28
2.0,2.0,10.0,1.5,2.0,10.0,8.39
40.0,2.0,10.0,2.5,0.0,6.0,16.67
37.0,2.0,10.0,2.5,0.0,10.0,12.04
16.0,2.0,10.0,2.5,2.0,6.0,9.22
22.0,2.0,10.0,2.5,2.0,10.0,3.94
33.0,2.0,30.0,1.5,0.0,6.0,27.02
17.0,2.0,30.0,1.5,0.0,10.0,19.46
28.0,2.0,30.0,1.5,2.0,6.0,18.54
27.0,2.0,30.0,1.5,2.0,10.0,25.7
14.0,2.0,30.0,2.5,0.0,6.0,19.02
13.0,2.0,30.0,2.5,0.0,10.0,22.39
4.0,2.0,30.0,2.5,2.0,6.0,23.85
21.0,2.0,30.0,2.5,2.0,10.0,30.12
23.0,6.0,10.0,1.5,0.0,6.0,13.42
35.0,6.0,10.0,1.5,0.0,10.0,34.26
19.0,6.0,10.0,1.5,2.0,6.0,39.74
34.0,6.0,10.0,1.5,2.0,10.0,10.6
31.0,6.0,10.0,2.5,0.0,6.0,28.89
9.0,6.0,10.0,2.5,0.0,10.0,35.61
38.0,6.0,10.0,2.5,2.0,6.0,17.2
15.0,6.0,10.0,2.5,2.0,10.0,6.0
39.0,6.0,30.0,1.5,0.0,6.0,129.45
8.0,6.0,30.0,1.5,0.0,0.0,107.38
26.0,6.0,30.0,1.5,2.0,6.0,111.66
11.0,6.0,30.0,1.5,2.0,0.0,109.1
6.0,6.0,30.0,2.5,0.0,6.0,100.43
20.0,6.0,30.0,2.5,0.0,0.0,109.28
10.0,6.0,30.0,2.5,2.0,6.0,106.46
32.0,6.0,30.0,2.5,2.0,0.0,134.01
1.0,4.0,20.0,2.0,1.0,8.0,10.78
3.0,4.0,20.0,2.0,1.0,8.0,9.39
5.0,4.0,20.0,2.0,1.0,8.0,9.84
7.0,4.0,20.0,2.0,1.0,8.0,13.94
12.0,4.0,20.0,2.0,1.0,8.0,12.33
18.0,4.0,20.0,2.0,1.0,8.0,7.32
29.0,4.0,20.0,2.0,1.0,8.0,7.91
36.0,4.0,20.0,2.0,1.0,8.0,15.58
